,Date,Cities,Lat,Lon,Cloudiness(%),Max Temp,Wind Speed,Country,Humidity
0,01/26/21,yellowknife,62.456,-114.3525,75,-11.001999999999974,4.12,KZ,64
1,01/26/21,new norfolk,-42.7826,147.0587,8,57.00200000000008,0.89,KZ,61
2,01/26/21,talnakh,69.4865,88.3972,100,-22.791999999999938,3.86,KZ,81
3,01/26/21,raudeberg,61.9875,5.1352,20,30.2,3.6,KZ,93
4,01/26/21,la ronge,55.1001,-105.2842,37,-16.59999999999995,2.06,KZ,69
5,01/26/21,punta arenas,-53.15,-70.9167,40,50.0,12.86,KZ,46
6,01/26/21,kruisfontein,-34.0033,24.7314,91,71.00600000000003,0.45,KZ,82
7,01/26/21,dingle,10.9995,122.6711,97,72.77000000000007,3.29,KZ,90
8,01/26/21,hermanus,-34.4187,19.2345,3,59.0,2.46,KZ,90
9,01/26/21,atuona,-9.8,-139.0333,1,78.36800000000008,7.84,KZ,76
10,01/26/21,toamasina,-18.1667,49.3833,5,76.658,1.74,KZ,84
11,01/26/21,busselton,-33.65,115.3333,39,55.99400000000007,5.61,KZ,96
12,01/26/21,albany,42.6001,-73.9662,100,26.99600000000005,3.98,KZ,76
13,01/26/21,dakar,14.6937,-17.4441,0,69.8,3.09,KZ,64
14,01/26/21,saskylakh,71.9167,114.0833,13,-35.01399999999998,0.7,KZ,82
15,01/26/21,klaksvik,62.2266,-6.589,17,32.0,5.66,KZ,64
16,01/26/21,rikitea,-23.1203,-134.9692,64,80.07800000000006,4.87,KZ,70
17,01/26/21,tiksi,71.6872,128.8694,99,-36.65199999999997,1.36,KZ,83
18,01/26/21,narsaq,60.9167,-46.05,0,10.256000000000029,4.88,KZ,79
19,01/26/21,upernavik,72.7868,-56.1549,99,0.5900000000000212,5.33,KZ,87
20,01/26/21,kapaa,22.0752,-159.319,90,75.99199999999999,7.72,KZ,88
21,01/26/21,belyy yar,53.6039,91.3903,20,-27.399999999999956,1.0,KZ,68
22,01/26/21,jamestown,42.097,-79.2353,90,35.99600000000005,6.69,KZ,93
23,01/26/21,saint-pierre,-21.3393,55.4781,0,77.0,2.57,KZ,65
24,01/26/21,antigonish,45.6169,-61.9986,99,33.008,0.89,KZ,92
25,01/26/21,bambous virieux,-20.3428,57.7575,20,75.99199999999999,2.57,KZ,88
26,01/26/21,longyearbyen,78.2186,15.6401,0,5.0,7.72,KZ,51
27,01/26/21,sao joao da barra,-21.6403,-41.0511,0,82.4,9.26,KZ,65
28,01/26/21,faanui,-16.4833,-151.75,45,81.28399999999999,7.67,KZ,73
29,01/26/21,kodiak,57.79,-152.4072,1,37.4,5.14,KZ,52
30,01/26/21,namibe,-15.1961,12.1522,2,76.91000000000008,2.7,KZ,74
31,01/26/21,ostrovnoy,68.0531,39.5131,100,6.962000000000057,8.14,KZ,93
32,01/26/21,lompoc,34.6391,-120.4579,1,53.6,4.63,KZ,50
33,01/26/21,butaritari,3.0707,172.7902,16,80.88800000000005,3.77,KZ,75
34,01/26/21,luoyang,34.6836,112.4536,100,42.008,0.79,KZ,99
35,01/26/21,ginir,7.1333,40.7,27,57.57800000000007,2.33,KZ,32
36,01/26/21,leningradskiy,69.3833,178.4167,99,-18.84999999999995,3.86,KZ,86
37,01/26/21,beibei,29.8256,106.4339,90,48.00200000000008,3.0,KZ,93
38,01/26/21,anderson,34.5334,-82.6499,90,68.0,5.14,KZ,45
39,01/26/21,ulaangom,49.9811,92.0667,26,-17.697999999999972,0.46,KZ,71
40,01/26/21,jalu,29.0331,21.5482,38,62.54600000000005,5.71,KZ,27
41,01/26/21,georgetown,5.4112,100.3354,20,78.8,1.03,KZ,88
42,01/26/21,kloulklubed,7.0419,134.2556,100,81.37400000000001,7.7,KZ,73
43,01/26/21,cape town,-33.9258,18.4232,20,68.0,7.2,KZ,82
44,01/26/21,riviere-au-renard,48.9957,-64.3971,90,30.2,3.68,KZ,86
45,01/26/21,vysokogornyy,50.1167,139.15,100,5.972000000000037,1.23,KZ,93
46,01/26/21,isangel,-19.55,169.2667,75,82.4,5.14,KZ,78
47,01/26/21,kusa,55.3383,59.4406,100,22.658000000000005,2.2,KZ,94
48,01/26/21,ushuaia,-54.8,-68.3,75,42.8,6.69,KZ,70
49,01/26/21,tuktoyaktuk,69.4541,-133.0374,20,-20.199999999999953,4.12,KZ,76
50,01/26/21,brae,60.3964,-1.353,56,32.0,1.03,KZ,74
51,01/26/21,salmas,38.1973,44.7653,16,19.4,2.06,KZ,86
52,01/26/21,bethel,41.3712,-73.414,90,28.004000000000055,3.6,KZ,86
53,01/26/21,deputatskiy,69.3,139.9,100,-40.395999999999944,1.35,KZ,83
54,01/26/21,nikolskoye,59.7035,30.7861,75,35.6,4.0,KZ,87
55,01/26/21,axim,4.8699,-2.2405,88,78.81800000000008,3.04,KZ,86
56,01/26/21,menongue,-14.6585,17.691,100,63.01400000000003,1.46,KZ,91
57,01/26/21,sitka,57.0531,-135.33,40,35.6,2.95,KZ,51
58,01/26/21,bolobo,-2.1667,16.2333,44,73.27400000000002,0.79,KZ,90
59,01/26/21,sinnamary,5.3833,-52.95,54,77.97200000000004,6.03,KZ,84
60,01/26/21,pervomayskoye,43.919,46.7102,2,38.96600000000001,3.98,KZ,90
61,01/26/21,esperance,-33.8667,121.9,90,62.6,5.14,KZ,82
62,01/26/21,pangody,65.85,74.4859,100,-28.623999999999953,2.56,KZ,86
63,01/26/21,povoa de varzim,41.3834,-8.7636,90,57.2,1.92,KZ,100
64,01/26/21,ancud,-41.8697,-73.8203,75,60.8,4.63,KZ,55
65,01/26/21,saint george,37.1041,-113.5841,90,39.2,3.6,KZ,56
66,01/26/21,bredasdorp,-34.5322,20.0403,13,60.8,1.54,KZ,77
67,01/26/21,grindavik,63.8424,-22.4338,0,26.6,7.2,KZ,54
68,01/26/21,ilulissat,69.2167,-51.1,100,3.3080000000000034,1.01,KZ,93
69,01/26/21,inuvik,68.3499,-133.7218,87,-11.199999999999946,1.54,KZ,77
70,01/26/21,kaduqli,11.0167,29.7167,0,76.83800000000005,3.95,KZ,25
71,01/26/21,meulaboh,4.1363,96.1285,87,75.36200000000005,2.3,KZ,87
72,01/26/21,ovalle,-30.5983,-71.2003,0,79.75400000000005,3.66,KZ,32
73,01/26/21,bluff,-46.6,168.3333,100,75.99199999999999,4.92,KZ,52
74,01/26/21,rio gallegos,-51.6226,-69.2181,40,53.6,13.38,KZ,30
75,01/26/21,port elizabeth,-33.918,25.5701,40,68.0,4.12,KZ,94
76,01/26/21,aksarka,66.5606,67.7975,2,-30.837999999999944,4.31,KZ,82
77,01/26/21,fengrun,39.8333,118.1167,3,23.0,3.13,KZ,48
78,01/26/21,tasiilaq,65.6145,-37.6368,100,6.098000000000024,3.32,KZ,85
79,01/26/21,kita,13.0349,-9.4895,6,74.3,2.49,KZ,16
80,01/26/21,ilhabela,-23.7781,-45.3581,78,78.51200000000006,1.68,KZ,82
81,01/26/21,cherskiy,68.75,161.3,64,-39.657999999999944,0.76,KZ,78
82,01/26/21,sayyan,15.1718,44.3244,68,42.26000000000008,1.57,KZ,56
83,01/26/21,hilo,19.7297,-155.09,75,77.0,3.6,KZ,73
84,01/26/21,sorland,67.667,12.6934,98,36.878000000000064,6.89,KZ,79
85,01/26/21,papillion,41.1544,-96.0422,90,24.8,3.09,KZ,68
86,01/26/21,hobart,-42.8794,147.3294,75,57.00200000000008,5.14,KZ,62
87,01/26/21,geraldton,-28.7667,114.6,14,67.38800000000005,6.19,KZ,75
88,01/26/21,emba,48.8264,58.1442,85,16.268000000000086,2.8,KZ,96
89,01/26/21,cayenne,4.9333,-52.3333,90,78.8,1.54,KZ,94
90,01/26/21,provideniya,64.3833,-173.3,75,6.800000000000001,6.0,KZ,78
91,01/26/21,berlevag,70.8578,29.0864,75,24.8,14.4,KZ,80
92,01/26/21,mataura,-46.1927,168.8643,100,75.99199999999999,4.92,KZ,52
93,01/26/21,esfarayen,37.0765,57.5101,0,21.2,2.06,KZ,79
94,01/26/21,mahebourg,-20.4081,57.7,20,73.4,2.57,KZ,88
95,01/26/21,vaini,-21.2,-175.2,75,80.6,3.6,KZ,89
96,01/26/21,arraial do cabo,-22.9661,-42.0278,0,78.8,8.75,KZ,78
97,01/26/21,boyolangu,-8.1181,111.8935,100,76.73000000000005,0.67,KZ,82
98,01/26/21,bengkulu,-3.8004,102.2655,100,74.066,2.21,KZ,90
99,01/26/21,ribeira grande,38.5167,-28.7,100,62.67200000000004,18.83,KZ,88
100,01/26/21,chuy,-33.6971,-53.4616,98,79.358,1.67,KZ,69
101,01/26/21,sabang,5.8933,95.3214,76,81.842,3.5,KZ,71
